episode,step,action,reward,total_reward,active_incidents,new_incidents,resolved_incidents,resources
2,42,DEPLOY_TEAM,-2.067274560252031,-73.81727456025203,2,1,0,100.0
2,43,DEPLOY_TEAM,-2.055274560252031,-75.87254912050406,2,0,0,100.0
2,44,DEPLOY_TEAM,-2.043274560252031,-77.91582368075609,2,0,0,100.0
2,45,DEPLOY_TEAM,-2.031274560252031,-79.94709824100812,2,0,0,100.0
2,46,DEPLOY_TEAM,-2.019274560252031,-81.96637280126015,2,0,0,100.0
2,47,DEPLOY_TEAM,-2.0072745602520308,-83.97364736151218,2,0,0,100.0
2,48,DEPLOY_TEAM,-1.9952745602520308,-85.9689219217642,2,0,0,100.0
2,49,DEPLOY_TEAM,-1.9832745602520307,-87.95219648201623,2,0,0,100.0
2,50,DEPLOY_TEAM,-1.9752966001575192,-89.92749308217375,2,0,0,100.0
2,51,DEPLOY_TEAM,-1.9692966001575192,-91.89678968233127,2,0,0,100.0
2,52,DEPLOY_TEAM,-1.9632966001575192,-93.8600862824888,2,0,0,100.0
2,53,DEPLOY_TEAM,-1.9572966001575192,-95.81738288264631,2,0,0,100.0
2,54,DEPLOY_TEAM,-1.9512966001575192,-97.76867948280383,2,0,0,100.0
2,55,DEPLOY_TEAM,-1.95,-99.71867948280384,2,0,0,100.0
2,56,DEPLOY_TEAM,-1.95,-101.66867948280384,2,0,0,100.0
2,57,DEPLOY_TEAM,-1.95,-103.61867948280384,2,0,0,100.0
2,58,DEPLOY_TEAM,-1.95,-105.56867948280384,2,0,0,100.0
2,59,DEPLOY_TEAM,-1.95,-107.51867948280385,2,0,0,100.0
2,60,DEPLOY_TEAM,-1.95,-109.46867948280385,2,0,0,100.0
2,61,DEPLOY_TEAM,-1.95,-111.41867948280385,2,0,0,100.0
2,62,DEPLOY_TEAM,-1.95,-113.36867948280386,2,0,0,100.0
2,63,DEPLOY_TEAM,-1.95,-115.31867948280386,1,0,1,100.0
2,64,DEPLOY_TEAM,-1.95,-117.26867948280386,1,0,0,100.0
2,65,DEPLOY_TEAM,-1.95,-119.21867948280386,1,0,0,100.0
2,66,DEPLOY_TEAM,-1.75,-120.96867948280386,0,0,1,100.0
2,67,DEPLOY_TEAM,-1.75,-122.71867948280386,0,0,0,100.0
2,68,DEPLOY_TEAM,-1.75,-124.46867948280386,0,0,0,100.0
2,69,DEPLOY_TEAM,-1.75,-126.21867948280386,0,0,0,100.0
2,70,DEPLOY_TEAM,-1.75,-127.96867948280386,0,0,0,100.0
2,71,DEPLOY_TEAM,-1.75,-129.71867948280385,0,0,0,100.0
2,72,DEPLOY_TEAM,-1.75,-131.46867948280385,0,0,0,100.0
2,73,DEPLOY_TEAM,-1.75,-133.21867948280385,0,0,0,100.0
2,74,DEPLOY_TEAM,-1.75,-134.96867948280385,0,0,0,100.0
2,75,DEPLOY_TEAM,-1.75,-136.71867948280385,0,0,0,100.0
2,76,DEPLOY_TEAM,-1.75,-138.46867948280385,0,0,0,100.0
2,77,DEPLOY_TEAM,-1.75,-140.21867948280385,0,0,0,100.0
