episode,step,action,reward,total_reward,active_incidents,new_incidents,resolved_incidents,resources
3,21,REPAIR,0.8,16.800000000000004,0,0,0,84.25
3,22,REPAIR,0.8,17.600000000000005,0,0,0,83.5
3,23,REPAIR,0.8,18.400000000000006,0,0,0,82.75
3,24,REPAIR,0.8,19.200000000000006,0,0,0,82.0
3,25,REPAIR,0.8,20.000000000000007,0,0,0,81.25
3,26,REPAIR,0.8,20.800000000000008,0,0,0,80.5
3,27,REPAIR,0.8,21.60000000000001,0,0,0,79.75
3,28,REPAIR,0.8,22.40000000000001,0,0,0,79.0
3,29,REPAIR,0.8,23.20000000000001,0,0,0,78.25
3,30,REPAIR,0.8,24.00000000000001,0,0,0,77.5
3,31,REPAIR,0.8,24.80000000000001,0,0,0,76.75
3,32,REPAIR,0.8,25.600000000000012,0,0,0,76.0
3,33,REPAIR,0.8,26.400000000000013,0,0,0,75.25
3,34,REPAIR,0.8,27.200000000000014,0,0,0,74.5
3,35,REPAIR,0.8,28.000000000000014,0,0,0,73.75
3,36,REPAIR,0.8,28.800000000000015,0,0,0,73.0
3,37,REPAIR,0.8,29.600000000000016,0,0,0,72.25
3,38,REPAIR,0.8,30.400000000000016,0,0,0,71.5
3,39,REPAIR,0.8,31.200000000000017,0,0,0,70.75
3,40,REPAIR,0.8,32.000000000000014,0,0,0,70.0
3,41,REPAIR,0.8,32.80000000000001,0,0,0,69.25
3,42,REPAIR,0.8,33.60000000000001,0,0,0,68.5
3,43,REPAIR,0.8,34.400000000000006,0,0,0,67.75
3,44,REPAIR,0.8,35.2,0,0,0,67.0
3,45,REPAIR,0.8,36.0,0,0,0,66.25
3,46,REPAIR,0.8,36.8,0,0,0,65.5
3,47,REPAIR,0.8,37.599999999999994,0,0,0,64.75
3,48,REPAIR,0.8,38.39999999999999,0,0,0,64.0
3,49,REPAIR,0.8,39.19999999999999,0,0,0,63.25
3,50,REPAIR,0.8,39.999999999999986,0,0,0,62.5
3,51,REPAIR,0.8,40.79999999999998,0,0,0,61.75
3,52,REPAIR,0.8,41.59999999999998,0,0,0,61.0
3,53,REPAIR,0.8,42.39999999999998,0,0,0,60.25
3,54,REPAIR,0.8,43.199999999999974,0,0,0,59.5
3,55,REPAIR,0.8,43.99999999999997,0,0,0,58.75
3,56,REPAIR,0.8,44.79999999999997,0,0,0,58.0
3,57,REPAIR,0.8,45.599999999999966,0,0,0,57.25
3,58,REPAIR,0.8,46.39999999999996,0,0,0,56.5
3,59,REPAIR,0.8,47.19999999999996,0,0,0,55.75
3,60,REPAIR,0.8,47.99999999999996,0,0,0,55.0
3,61,REPAIR,0.8,48.799999999999955,0,0,0,54.25
3,62,REPAIR,0.8,49.59999999999995,0,0,0,53.5
3,63,REPAIR,0.8,50.39999999999995,0,0,0,52.75
3,64,REPAIR,0.8,51.199999999999946,0,0,0,52.0
3,65,REPAIR,0.8,51.99999999999994,0,0,0,51.25
3,66,REPAIR,0.8,52.79999999999994,0,0,0,50.5
3,67,REPAIR,0.7,53.49999999999994,0,0,0,49.75
3,68,REPAIR,0.7,54.199999999999946,0,0,0,49.0
3,69,REPAIR,0.7,54.89999999999995,0,0,0,48.25
3,70,REPAIR,0.7,55.59999999999995,0,0,0,47.5
3,71,REPAIR,0.7,56.299999999999955,0,0,0,46.75
3,72,REPAIR,0.7,56.99999999999996,0,0,0,46.0
3,73,REPAIR,0.7,57.69999999999996,0,0,0,45.25
3,74,REPAIR,0.7,58.39999999999996,0,0,0,44.5
3,75,REPAIR,0.7,59.099999999999966,0,0,0,43.75
3,76,REPAIR,0.7,59.79999999999997,0,0,0,43.0
3,77,REPAIR,0.7,60.49999999999997,0,0,0,42.25
3,78,REPAIR,0.7,61.199999999999974,0,0,0,41.5
3,79,REPAIR,0.7,61.89999999999998,0,0,0,40.75
3,80,REPAIR,0.7,62.59999999999998,0,0,0,40.0
3,81,REPAIR,0.7,63.29999999999998,0,0,0,39.25
3,82,REPAIR,0.7,63.999999999999986,0,0,0,38.5
3,83,REPAIR,0.7,64.69999999999999,0,0,0,37.75
3,84,REPAIR,0.7,65.39999999999999,0,0,0,37.0
3,85,REPAIR,0.7,66.1,0,0,0,36.25
3,86,REPAIR,0.7,66.8,0,0,0,35.5
3,87,REPAIR,0.7,67.5,0,0,0,34.75
